지역,링크아이디,도로명,평균속도
서울특별시 종로구,1000011300,사직로,38.8
서울특별시 종로구,1000011400,사직로,16.9
서울특별시 종로구,1000011501,율곡로,12.6
서울특별시 종로구,1000011502,율곡로,23
서울특별시 종로구,1000011503,율곡로,20.9
서울특별시 종로구,1000011504,율곡로,9.6
서울특별시 종로구,1000011601,율곡로,8
서울특별시 종로구,1000011602,율곡로,14.4
서울특별시 종로구,1000011603,율곡로,25.4
서울특별시 종로구,1000011700,사직로,18.7
서울특별시 종로구,1000011800,사직로,20.3
서울특별시 종로구,1000011900,사직로,18.5
서울특별시 종로구,1000012001,사직로,25.2
서울특별시 종로구,1000012002,사직로,28.2
서울특별시 종로구,1000012101,사직로,19.9
서울특별시 종로구,1000012102,사직로,19.5
서울특별시 종로구,1000012201,사직로,14.2
서울특별시 종로구,1000012202,사직로,25.5
서울특별시 종로구,1000012203,사직로,11.3
서울특별시 종로구,1000012302,율곡로,11.7
서울특별시 종로구,1000012400,율곡로,13.9
서울특별시 종로구,1000012501,사직로,26.1
서울특별시 종로구,1000012502,사직로,24.6
서울특별시 종로구,1000012602,사직로,21.7
서울특별시 종로구,1000012702,율곡로,15.7
서울특별시 종로구,1000012800,율곡로,14.3
서울특별시 종로구,1000012901,지봉로,15.8
서울특별시 종로구,1000012902,지봉로,38
서울특별시 종로구,1000013001,지봉로,14.9
서울특별시 종로구,1000013002,지봉로,45.5
서울특별시 종로구,1000013100,사직로9길,10.5
서울특별시 종로구,1000013200,사직로9길,13.5
서울특별시 종로구,1000013301,율곡로,23.1
서울특별시 종로구,1000013401,율곡로,30.6
서울특별시 종로구,1000013402,율곡로,15.7
서울특별시 종로구,1000013501,율곡로,19.2
서울특별시 종로구,1000013502,율곡로,21.9
서울특별시 종로구,1000013601,율곡로,29.3
서울특별시 종로구,1000013602,율곡로,12.5
서울특별시 종로구,1000013700,율곡로3길,21.7
서울특별시 종로구,1000013802,율곡로3길,18.8
서울특별시 종로구,1000013900,북촌로,12.4
서울특별시 종로구,1000014000,북촌로,13.6
서울특별시 종로구,1000014100,창덕궁길,15.2
서울특별시 종로구,1000014200,창덕궁길,19.2
서울특별시 종로구,1000014301,삼청로,12.5
서울특별시 종로구,1000014302,삼청로,25
서울특별시 종로구,1000014303,삼청로,23
서울특별시 종로구,1000014401,삼청로,24.7
서울특별시 종로구,1000014402,삼청로,26.2
